County,state,Notes,TrashServiceType,RecyclingServiceType,YardWasteServiceType,FoodServiceType,MunicipalService,SchoolService,BusinessService,Non-resident Trash and Recycling Service,PropertyTax,AnnualFee,TransferStationAccessFee,Per-VisitFee,TipFee,PAYT/SMART,SingleorMultiStream,ProvideTrashCart,ProvRecycleBinorCart,ProvideCompostBins,EnforceRecycling,ExtraInfo
Gilchrist,FL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glades,FL,,Both,Drop-off,Both,None,No,No,No,No,No,Yes,Yes,Yes,No,No,Multi,No,No,No,Yes,The annual fee is monthly and from contractor.
Gulf,FL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hamilton,FL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hardee,FL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hendry,FL,,Curbside,Both,Curbside,None,No,No,No,No,No,Yes,Yes,No,No,No,Single,No,Yes,No,No,The transfer station fee is based on weight and product
Hernando,FL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Highlands,FL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hillsborough,FL,,Both,Both,Both,None,No,No,No,No,Yes,No,No,No,No,No,Single,Yes,Yes,No,No,Temple Terrace has dual stream. Tampa and Plant city seem to have about the same policies based on their websites. 
Holmes,FL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indian River,FL,,Curbside,Curbside,Curbside,None,No,No,No,No,Yes,No,No,No,No,No,Single,Yes,Yes,No,Yes,
Jackson,FL,Applies to unincorporated parts of the county only. Would have to contact municipalities separatetely if you wanted data from them. ,NA,Drop-off,None,None,No,No,No,No,No,No,No,No,No,No,Drop-Off,No,No,No,No,Trash through a private service
Jefferson,FL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lafayette,FL,,Drop-off,Drop-off,Drop-off,None,No,No,No,No,No,Yes,No,No,No,No,Multi,No,No,No,No,
Lake,FL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lee,FL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leon,FL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Levy,FL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Liberty,FL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Madison,FL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Manatee,FL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marion,FL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Martin,FL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Miami-Dade,FL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Monroe,FL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nassau,FL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Okaloosa,FL,,Both,Both,Both,None,No,No,No,No,No,Yes,No,No,Yes,No,Single,Yes,Yes,No,No,The annual fee is actually monthly
Okeechobee,FL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orange,FL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Osceola,FL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palm Beach,FL,,Both,Both,Both,None,No,No,No,No,No,Yes,No,No,No,No,Dual,Yes,Yes,No,No,
Pasco,FL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pinellas,FL,"Email from Ashley with a lot of info, but the issue is that Pinellas is mostly managed at Municipal level?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polk,FL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Putnam,FL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Santa Rosa,FL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarasota,FL,,Both,Both,Both,None,No,No,No,No,No,No,No,No,Yes,No,Single,Yes,Yes,No,Yes,The tip fees are only if you choose to drop off and don’t apply to recycling. They ‘aspire’ to compost as a service. Just switched to single stream in 2020
Seminole,FL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
St. Johns,FL,,Both,Both,Curbside,Private,No,No,No,No,No,Yes,No,No,No,No,Single,NA,Yes,No,No,
St. Lucie,FL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sumter,FL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Suwannee,FL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taylor,FL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Union,FL,Part of NRWSA,Drop-off,Drop-off,Drop-off,None,No,No,No,No,No,Yes,No,No,Yes,No,Multi,No,No,No,No,
Volusia,FL,Only for unincorporated parts of the county. Look at cities individually.,Curbside,Both,Curbside,None,No,No,No,No,No,Yes,No,Yes,No,No,Dual,Yes,Yes,No,No,"Reycling drop-off is free, and program free collected through a non advolorem assessment on the residential tax bill. "
Wakulla,FL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Walton,FL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Washington,FL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
